,car_name,price,kms_driven,fuel_type,city,year_of_manufacture
253,Maruti Suzuki Celerio ZXi AMT,475000,29646,Petrol,Thane,2016
254,BMW X1 sDrive20d Expedition,2175000,55000,Diesel,Mumbai,2017
255,Volvo S90 D4 Inscription,5900000,15446,Diesel,Hyderabad,2020
256,Maruti Suzuki Celerio VXi AMT,445000,24595,Petrol,Mumbai,2016
257,Hyundai Creta 1.6 S Plus,998000,97761,Diesel,Pune,2016
258,Maruti Suzuki Celerio VXi,565000,47000,Petrol,Hyderabad,2020
259,Hyundai Grand i10 Sportz 1.2,485000,66471,Petrol,Delhi,2017
260,Datsun redi-GO S [2016-2019],325000,37000,Petrol,Ahmedabad,2019
261,Kia Seltos GTX Plus 1.4,1690000,28100,Petrol,Ahmedabad,2020
262,Skoda Octavia Elegance 2.0 TDI,799000,63000,Diesel,Delhi,2014
263,Maruti Suzuki Wagon R 1.0,430000,26600,CNG,Pune,2016
264,Mahindra XUV500 W8,575000,55105,Diesel,Kolkata,2013
265,Hyundai Eon Era +,330000,42748,Petrol,Chennai,2017
266,Audi Q7 45 TDI Technology,5950000,51000,Diesel,Ahmedabad,2018
267,Audi A6 35 TDI Matrix,2500000,76000,Diesel,Ahmedabad,2018
268,Hyundai Elite i20 Sportz 1.2,613000,35247,Petrol,Pune,2017
269,Hyundai Elite i20 Sportz 1.2,559000,30183,Petrol,Kolkata,2019
270,Mercedes-Benz GLS 350 d,6800000,88000,Diesel,Hyderabad,2018
271,MG Hector Sharp 1.5 DCT,1699000,7870,Petrol,Kolkata,2021
272,Mahindra XUV500 W10,1490000,50000,Diesel,Chennai,2018
273,BMW 3 Series 320d Luxury,1710000,46000,Diesel,Delhi,2015
274,Maruti Suzuki Celerio VXi AMT,490000,28726,Petrol,Thane,2018
275,Maruti Suzuki Wagon R 1.0,313000,32907,Petrol,Delhi,2014
276,Maruti Suzuki Alto 800 Vxi,332000,29092,Petrol,Kolkata,2019
277,Hyundai Creta 1.6 S Petrol,745000,62461,Petrol,Mumbai,2016
278,Skoda Rapid Ambition 1.6 MPI,385000,60000,Petrol,Noida,2012
279,Jaguar XF 3.0 V6 Premium,2650000,62645,Diesel,Hyderabad,2015
280,Toyota Innova 2.5 G BS,975000,83000,Diesel,Ahmedabad,2015
281,Hyundai i10 1.1L iRDE Magna,350000,55000,Petrol,Ahmedabad,2015
282,Toyota Fortuner 2.8 4x4 AT,3500000,181213,Diesel,Hyderabad,2019
283,Maruti Suzuki Dzire VXi AMT,690000,25000,Petrol,Delhi,2020
284,Datsun GO T [2018-2019],235000,52000,Petrol,Ahmedabad,2018
285,Ford EcoSport Titanium 1.0 Ecoboost,451000,38203,Petrol,Kolkata,2013
286,Maruti Suzuki Wagon R 1.0,406000,64942,CNG,Delhi,2017
287,Maruti Suzuki Baleno Delta 1.2,540000,47837,Petrol,Delhi,2018
288,Maruti Suzuki Ertiga Vxi,500000,85000,Petrol,Thiruvallur,2013
289,Mercedes-Benz CLA 200 CDI Sport,1649000,51500,Diesel,Kolkata,2015
290,Skoda Octavia 1.8 TSI L&K,2100000,23160,Petrol,Hyderabad,2018
291,Toyota Corolla Altis G Petrol,695000,75000,Petrol,Thane,2015
292,Toyota Corolla Altis 1.8 G,883000,63000,Petrol,Delhi,2014
293,BMW 3 Series 320d Luxury,1550000,104264,Diesel,Hyderabad,2013
294,Hyundai Elite i20 Asta 1.2,659000,15972,Petrol,Delhi,2017
295,Hyundai Eon Magna [2011-2012],320000,33146,Petrol,Ahmedabad,2015
296,Maruti Suzuki Swift VXi [2014-2017],674000,30956,Petrol,Chennai,2020
297,Renault Kiger RXT Turbo CVT,998000,4371,Petrol,Kolkata,2022
298,Hyundai Elite i20 Asta 1.4,1075000,63653,Diesel,Hyderabad,2020
299,Honda City 1.5 V MT,405000,55297,Petrol,Thane,2013
300,Porsche Cayenne Turbo,7857000,12000,Petrol,Ahmedabad,2015
